
23-Apr-2014 07:22:20
2_BrightDry4.jpg,1.199356e+02,1.152980e+00,2.043543e+02,1.861220e+02,9.102745e-01,-3.552886e-03,1.461965e-02,1.972876e+01,

23-Apr-2014 07:44:34
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
2_DarkDry1.jpg,1.722930e+02,6.359018e+01,2.406099e+02,2.263415e+02,9.193963e-01,-3.031218e-03,1.110528e-02,1.897447e+01,

23-Apr-2014 07:44:58
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
2_DarkDry2.jpg,1.700470e+02,6.289885e+01,2.389801e+02,2.248293e+02,9.196348e-01,-3.185891e-03,1.025026e-02,1.888208e+01,

23-Apr-2014 07:45:15
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
2_DarkDry3.jpg,1.386122e+02,2.737669e+01,1.898788e+02,1.995610e+02,1.059582e+00,0,0,0,

23-Apr-2014 07:45:35
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
2_DarkDry4.jpg,1.312767e+02,8.875946e+00,1.969781e+02,1.824878e+02,9.229657e-01,6.742573e-04,1.208477e-02,1.516993e+01,

23-Apr-2014 07:45:51
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
2_DarkDry5.jpg,1.361059e+02,8.809228e+00,1.993997e+02,1.845122e+02,9.218873e-01,-2.047552e-04,8.036640e-03,1.517929e+01,

23-Apr-2014 07:46:09
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
3_BrightDry.jpg,1.776484e+02,6.126810e+01,2.449088e+02,2.274390e+02,9.048700e-01,-2.071915e-03,1.190023e-02,1.687231e+01,

23-Apr-2014 07:46:33
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
3_BrightDry2.jpg,1.714092e+02,5.148916e+01,2.409376e+02,2.218537e+02,8.992657e-01,-3.064094e-03,1.488274e-02,1.872559e+01,

23-Apr-2014 07:47:00
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
3_BrightDry3.jpg,1.055805e+02,4.316314e-01,1.916049e+02,1.601707e+02,8.355725e-01,-9.211413e-03,3.005829e-02,1.902391e+01,

23-Apr-2014 07:47:20
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
3_DarkDry.jpg,1.355958e+02,3.323762e+01,2.071112e+02,1.852927e+02,8.745152e-01,-1.879695e-03,1.882501e-02,1.851137e+01,

23-Apr-2014 07:47:47
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
3_DarkDry2.jpg,1.414823e+02,3.569080e+01,2.122183e+02,1.914146e+02,8.821504e-01,-2.072502e-03,1.812748e-02,1.860161e+01,

23-Apr-2014 07:48:14
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
3_DarkDry3.jpg,1.374480e+02,3.493729e+01,2.102827e+02,1.863659e+02,8.636017e-01,-7.066194e-03,2.086475e-02,1.831680e+01,

23-Apr-2014 07:48:44
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
3_DarkDry4.jpg,1.366367e+02,3.490681e+01,2.091651e+02,1.854146e+02,8.637052e-01,-6.130511e-03,2.051902e-02,1.827458e+01,

23-Apr-2014 07:49:10
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
3_DarkDry5.jpg,1.091357e+02,2.054100e+00,1.877905e+02,1.567561e+02,8.329117e-01,-4.517287e-03,3.112200e-02,1.894745e+01,

23-Apr-2014 07:49:40
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
3_DarkDry6.jpg,1.000870e+02,1.691387e+00,1.733819e+02,1.492683e+02,8.595517e-01,-7.216614e-03,2.116684e-02,2.006679e+01,
